ISim log file
Running: C:\Users\152\Documents\Ram and Jonny\Stopwatch-master\swtb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -view C:/Users/152/Documents/Ram and Jonny/Stopwatch-master/tbwv.wcfg -wdb C:/Users/152/Documents/Ram and Jonny/Stopwatch-master/swtb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
38288 0 4 1 9
38288 0 4 2 0
38288 0 4 2 1
38288 0 4 2 2
38288 0 4 2 3
38288 0 4 2 4
38288 0 4 2 5
38288 0 4 2 6
38288 0 4 2 7
38288 0 4 2 8
38288 0 4 2 9
38288 0 4 3 0
38288 0 4 3 1
38288 0 4 3 2
38288 0 4 3 3
38288 0 4 3 4
38288 0 4 3 5
38288 0 4 3 6
38288 0 4 3 7
38288 0 4 3 8
38288 0 4 3 9
38288 0 4 4 0
38288 0 4 4 1
38288 0 4 4 2
38288 0 4 4 3
38288 0 4 4 4
38288 0 4 4 5
38288 0 4 4 6
38288 0 4 4 7
38288 0 4 4 8
38288 0 4 4 9
38288 0 4 5 0
38288 0 4 5 1
38288 0 4 5 2
38288 0 4 5 3
38288 0 4 5 4
38288 0 4 5 5
38288 0 4 5 6
38288 0 4 5 7
38288 0 4 5 8
38288 0 4 5 9
38288 0 5 0 0
38288 0 5 0 1
38288 0 5 0 2
38288 0 5 0 3
38288 0 5 0 4
38288 0 5 0 5
38288 0 5 0 6
38288 0 5 0 7
38288 0 5 0 8
38288 0 5 0 9
38288 0 5 1 0
38288 0 5 1 1
38288 0 5 1 2
38288 0 5 1 3
38288 0 5 1 4
38288 0 5 1 5
38288 0 5 1 6
38288 0 5 1 7
38288 0 5 1 8
38288 0 5 1 9
38288 0 5 2 0
38288 0 5 2 1
38288 0 5 2 2
38288 0 5 2 3
38288 0 5 2 4
38288 0 5 2 5
38288 0 5 2 6
38288 0 5 2 7
38288 0 5 2 8
38288 0 5 2 9
38288 0 5 3 0
38288 0 5 3 1
38288 0 5 3 2
38288 0 5 3 3
38288 0 5 3 4
38288 0 5 3 5
38288 0 5 3 6
38288 0 5 3 7
38288 0 5 3 8
38288 0 5 3 9
38288 0 5 4 0
38288 0 5 4 1
38288 0 5 4 2
38288 0 5 4 3
38288 0 5 4 4
38288 0 5 4 5
38288 0 5 4 6
38288 0 5 4 7
38288 0 5 4 8
38288 0 5 4 9
38288 0 5 5 0
38288 0 5 5 1
38288 0 5 5 2
38288 0 5 5 3
38288 0 5 5 4
38288 0 5 5 5
38288 0 5 5 6
38288 0 5 5 7
38288 0 5 5 8
38288 0 5 5 9
38288 0 6 0 0
38288 0 6 0 1
38288 0 6 0 2
38288 0 6 0 3
38288 0 6 0 4
38288 0 6 0 5
38288 0 6 0 6
38288 0 6 0 7
38288 0 6 0 8
38288 0 6 0 9
38288 0 6 1 0
38288 0 6 1 1
38288 0 6 1 2
38288 0 6 1 3
38288 0 6 1 4
38288 0 6 1 5
38288 0 6 1 6
38288 0 6 1 7
38288 0 6 1 8
38288 0 6 1 9
38288 0 6 2 0
38288 0 6 2 1
38288 0 6 2 2
38288 0 6 2 3
38288 0 6 2 4
38288 0 6 2 5
38288 0 6 2 6
38288 0 6 2 7
38288 0 6 2 8
38288 0 6 2 9
38288 0 6 3 0
38288 0 6 3 1
38288 0 6 3 2
38288 0 6 3 3
38288 0 6 3 4
38288 0 6 3 5
38288 0 6 3 6
38288 0 6 3 7
38288 0 6 3 8
38288 0 6 3 9
38288 0 6 4 0
38288 0 6 4 1
38288 0 6 4 2
38288 0 6 4 3
38288 0 6 4 4
38288 0 6 4 5
38288 0 6 4 6
38288 0 6 4 7
38288 0 6 4 8
38288 0 6 4 9
38288 0 6 5 0
38288 0 6 5 1
38288 0 6 5 2
38288 0 6 5 3
38288 0 6 5 4
38288 0 6 5 5
38288 0 6 5 6
38288 0 6 5 7
38288 0 6 5 8
38288 0 6 5 9
38288 0 7 0 0
38288 0 7 0 1
38288 0 7 0 2
38288 0 7 0 3
38288 0 7 0 4
38288 0 7 0 5
38288 0 7 0 6
38288 0 7 0 7
38288 0 7 0 8
38288 0 7 0 9
38288 0 7 1 0
38288 0 7 1 1
38288 0 7 1 2
38288 0 7 1 3
38288 0 7 1 4
38288 0 7 1 5
38288 0 7 1 6
38288 0 7 1 7
38288 0 7 1 8
38288 0 7 1 9
38288 0 7 2 0
38288 0 7 2 1
38288 0 7 2 2
38288 0 7 2 3
38288 0 7 2 4
38288 0 7 2 5
38288 0 7 2 6
38288 0 7 2 7
38288 0 7 2 8
38288 0 7 2 9
38288 0 7 3 0
38288 0 7 3 1
38288 0 7 3 2
38288 0 7 3 3
38288 0 7 3 4
38288 0 7 3 5
38288 0 7 3 6
38288 0 7 3 7
38288 0 7 3 8
38288 0 7 3 9
38288 0 7 4 0
38288 0 7 4 1
38288 0 7 4 2
38288 0 7 4 3
38288 0 7 4 4
38288 0 7 4 5
38288 0 7 4 6
38288 0 7 4 7
38288 0 7 4 8
38288 0 7 4 9
38288 0 7 5 0
38288 0 7 5 1
38288 0 7 5 2
38288 0 7 5 3
38288 0 7 5 4
38288 0 7 5 5
38288 0 7 5 6
38288 0 7 5 7
38288 0 7 5 8
38288 0 7 5 9
38288 0 8 0 0
38288 0 8 0 1
38288 0 8 0 2
38288 0 8 0 3
38288 0 8 0 4
38288 0 8 0 5
38288 0 8 0 6
38288 0 8 0 7
38288 0 8 0 8
38288 0 8 0 9
38288 0 8 1 0
38288 0 8 1 1
38288 0 8 1 2
38288 0 8 1 3
38288 0 8 1 4
38288 0 8 1 5
38288 0 8 1 6
38288 0 8 1 7
38288 0 8 1 8
38288 0 8 1 9
38288 0 8 2 0
38288 0 8 2 1
38288 0 8 2 2
38288 0 8 2 3
38288 0 8 2 4
38288 0 8 2 5
38288 0 8 2 6
38288 0 8 2 7
38288 0 8 2 8
38288 0 8 2 9
38288 0 8 3 0
38288 0 8 3 1
38288 0 8 3 2
38288 0 8 3 3
38288 0 8 3 4
38288 0 8 3 5
38288 0 8 3 6
38288 0 8 3 7
38288 0 8 3 8
38288 0 8 3 9
38288 0 8 4 0
38288 0 8 4 1
38288 0 8 4 2
38288 0 8 4 3
38288 0 8 4 4
38288 0 8 4 5
38288 0 8 4 6
38288 0 8 4 7
38288 0 8 4 8
38288 0 8 4 9
38288 0 8 5 0
38288 0 8 5 1
38288 0 8 5 2
38288 0 8 5 3
38288 0 8 5 4
38288 0 8 5 5
38288 0 8 5 6
38288 0 8 5 7
38288 0 8 5 8
38288 0 8 5 9
38288 0 9 0 0
38288 0 9 0 1
38288 0 9 0 2
38288 0 9 0 3
38288 0 9 0 4
38288 0 9 0 5
38288 0 9 0 6
38288 0 9 0 7
38288 0 9 0 8
38288 0 9 0 9
38288 0 9 1 0
38288 0 9 1 1
38288 0 9 1 2
38288 0 9 1 3
38288 0 9 1 4
38288 0 9 1 5
38288 0 9 1 6
38288 0 9 1 7
38288 0 9 1 8
38288 0 9 1 9
38288 0 9 2 0
38288 0 9 2 1
38288 0 9 2 2
38288 0 9 2 3
38288 0 9 2 4
38288 0 9 2 5
38288 0 9 2 6
38288 0 9 2 7
38288 0 9 2 8
38288 0 9 2 9
38288 0 9 3 0
38288 0 9 3 1
38288 0 9 3 2
38288 0 9 3 3
38288 0 9 3 4
38288 0 9 3 5
38288 0 9 3 6
38288 0 9 3 7
38288 0 9 3 8
38288 0 9 3 9
38288 0 9 4 0
38288 0 9 4 1
38288 0 9 4 2
38288 0 9 4 3
38288 0 9 4 4
38288 0 9 4 5
38288 0 9 4 6
38288 0 9 4 7
38288 0 9 4 8
38288 0 9 4 9
38288 0 9 5 0
38288 0 9 5 1
38288 0 9 5 2
38288 0 9 5 3
38288 0 9 5 4
38288 0 9 5 5
38288 0 9 5 6
38288 0 9 5 7
38288 0 9 5 8
38288 0 9 5 9
38288 010 0 0
38288 010 0 1
38288 010 0 2
38288 010 0 3
38288 010 0 4
38288 010 0 5
38288 010 0 6
38288 010 0 7
38288 010 0 8
38288 010 0 9
38288 010 1 0
38288 010 1 1
38288 010 1 2
